query_id,split,query_zh,query_en,query_type,expected_answerable,relevant_paper_keys,relevant_passage_ids,answer_claim_family,passage_overlap,answer_claim_overlap,independence_note,review_status,answerable_correct,relevant_passages_correct,review_decision,reviewer,reviewed_at,reviewer_notes
D001,dev_hard_negative,TPMN是否在QZU-DET数据集上报告了121 FPS的推理速度？,Does TPMN report 121 FPS inference speed on the QZU-DET dataset?,hard_negative,false,,,tpmn_qzudet_121fps_misattribution,,,,pending_review,,,,,,
D002,dev_hard_negative,YOLOv8-GSP是否使用WT-C3k2作为轻量化骨干模块？,Does YOLOv8-GSP use WT-C3k2 as its lightweight backbone module?,hard_negative,false,,,yolov8gsp_wtc3k2_misattribution,,,,pending_review,,,,,,
D003,dev_hard_negative,SSD物流纸箱系统是否使用含1210张图像的Cardboard-Boxes-Dataset训练？,"Was the SSD logistics-carton system trained on the 1,210-image Cardboard-Boxes-Dataset?",hard_negative,false,,,ssd_cardboardboxes_dataset_misattribution,,,,pending_review,,,,,,
D004,dev_hard_negative,改进的RGB-D平面拟合算法是否在书籍包装的fold、scratch和broken三类缺陷上进行了评估？,"Was the improved RGB-D plane-fitting algorithm evaluated on fold, scratch, and broken book-packaging defects?",hard_negative,false,,,rgbd_book_defect_categories_misattribution,,,,pending_review,,,,,,
D005,dev_hard_negative,Merge-YOLO论文是否将QZU-DET划分为3095张训练、1000张验证和1000张测试图像？,"Does the Merge-YOLO paper split QZU-DET into 3,095 training, 1,000 validation, and 1,000 test images?",hard_negative,false,,,merge_yolo_qzudet_split_misattribution,,,,pending_review,,,,,,
D006,dev_hard_negative,改进RANSAC是否在QZU-DET数据集上报告了0.5°的平面拟合角度误差？,Does the improved RANSAC method report a 0.5-degree plane-fitting angle error on QZU-DET?,hard_negative,false,,,ransac_qzudet_angle_error_misattribution,,,,pending_review,,,,,,
D007,dev_hard_negative,混合2D/3D表面缺陷系统是否采用Focal Loss处理类别不平衡？,Does the hybrid 2D/3D surface-defect system use Focal Loss to address class imbalance?,hard_negative,false,,,hybrid_2d3d_focal_loss_misattribution,,,,pending_review,,,,,,
D008,dev_hard_negative,Merge-YOLO是否采用IFPN降低特征金字塔的计算复杂度？,Does Merge-YOLO use IFPN to reduce feature-pyramid computational complexity?,hard_negative,false,,,merge_yolo_ifpn_misattribution,,,,pending_review,,,,,,
D009,dev_hard_negative,TPMN是否将瓦楞纸板横截面分为B、C、E、BC、EB、EC、EE和Not八类？,"Does TPMN classify corrugated-board cross-sections into B, C, E, BC, EB, EC, EE, and Not?",hard_negative,false,,,tpmn_flute_classes_misattribution,,,,pending_review,,,,,,
D010,dev_hard_negative,哪些论文公开了跨工厂零样本验证？,Which papers report cross-factory zero-shot validation?,hard_negative,false,,,cross_factory_zero_shot_validation,,,,pending_review,,,,,,
